zip,tract,usps_zip_pref_city,usps_zip_pref_state,res_ratio,bus_ratio,oth_ratio,tot_ratio
85018,04013111402,PHOENIX,AZ,0,0.013486513,0.004864489,0.001422416
85018,04013111201,PHOENIX,AZ,0.058547552,0.012987013,0.015288395,0.052127348
85018,04013111401,PHOENIX,AZ,0,0.015984016,0.004864489,0.001631594
85018,04013107900,PHOENIX,AZ,0.093050533,0.083916084,0.045865184,0.08944484
85018,04013108100,PHOENIX,AZ,0.058743036,0.038961039,0.024322446,0.055014015
85018,04013108400,PHOENIX,AZ,0.002052585,0.042457542,0.011118833,0.005982513
85018,04013108200,PHOENIX,AZ,0.08068615,0.071928072,0.248088951,0.09003054
85018,04013111100,PHOENIX,AZ,0.099061675,0.037962038,0.034746352,0.090072376
85018,04013110902,PHOENIX,AZ,0.119343173,0.110889111,0.22724114,0.125130737
85018,04013108301,PHOENIX,AZ,0.092903919,0.213286713,0.054204309,0.100656821
85018,04013105102,PHOENIX,AZ,0.007037435,0.0004995,0.001389854,0.006149856
85018,04013110801,PHOENIX,AZ,0.015345519,0.003496503,0.00694927,0.013847634
85018,04013110802,PHOENIX,AZ,0.009920829,0.008991009,0.016678249,0.010249759
85018,04013110901,PHOENIX,AZ,0.098084254,0.061938062,0.07505212,0.093670251
85018,04013108000,PHOENIX,AZ,0.041540416,0.003996004,0.001389854,0.035978747
85018,04013111000,PHOENIX,AZ,0.112159124,0.154345654,0.050729673,0.11199431
85018,04013217400,PHOENIX,AZ,0.00043984,0.000999001,0,0.000460193
85018,04013108302,PHOENIX,AZ,0.094858763,0.084915085,0.165392634,0.098272183
85018,04013107800,PHOENIX,AZ,0.016225198,0.000999001,0.004169562,0.014224156
85018,04013111300,PHOENIX,AZ,0,0.037962038,0.007644197,0.00363971
85035,04013112402,PHOENIX,AZ,0.082205155,0.081578947,0.016806723,0.081699552
85035,04013112401,PHOENIX,AZ,0.101405884,0.015789474,0.058823529,0.099035491
85035,04013112509,PHOENIX,AZ,0.211989065,0.297368421,0.319327731,0.214839564
85035,04013109900,PHOENIX,AZ,0,0.031578947,0.016806723,0.000882557
85035,04013112302,PHOENIX,AZ,0.102967977,0.010526316,0.084033613,0.100611486
85035,04013112301,PHOENIX,AZ,0.103618849,0.131578947,0.142857143,0.104582992
85035,04013082028,PHOENIX,AZ,0,0.002631579,0,6.30398E-05
85035,04013112507,PHOENIX,AZ,0.035863056,0.239473684,0.193277311,0.041921452
85035,04013112503,PHOENIX,AZ,0.147878157,0.068421053,0.016806723,0.14499149
