GEOID10,GEOID20,WEIGHT,PAREA
40130101012095,40130101032078,1,1
40130101012096,40130101031064,0,0.927101264
40130101012096,40130101031075,0.99553026,0.071677627
40130101012096,40130101032078,0.00446974,0.001221109
40130101012097,40130101031065,1,1
40130101012098,40130101031062,1,1
40130101012099,40130101031069,1,1
40130101012100,40130101031068,0.277388237,0.277388237
40130101012100,40130101031069,0.722611763,0.722611763
40130101012101,40130101031070,1,1
40130101012102,40130101031062,0.208373968,0.208373968
40130101012102,40130101031067,0.679099427,0.679099427
40130101012102,40130101031072,0.112526604,0.112526604
40130101012103,40130101031072,1,1
40130101012104,40130101031065,0.16834935,0.16834935
40130101012104,40130101031073,0.402168628,0.402168628
40130101012104,40130101031074,0.429482022,0.429482022
40130101012105,40130101031064,0,0.021875644
40130101012105,40130101031075,1,0.978124356
40130101012106,40130101031076,1,1
40130101012107,40130101031073,1,1
40130101012108,40130101031077,1,1
40130101012109,40130101031070,0.26450054,0.163882914
40130101012109,40130101031071,0.166873716,0.282304148
40130101012109,40130101031078,0.567437342,0.547591836
40130101012109,40132168293023,0.00115429,0.002406924
40130101012109,40132168293026,0,0.003529146
40130101012109,40132168431000,3.41E-05,0.000285031
40130101012110,40130101031068,1,1
40130101012111,40130101031070,1,1
40130101012112,40130101031079,1,1
40130101012113,40130101032121,1,0.911471016
40130101012113,40139807001003,0,0.088528984
40130101013000,40130101042000,0.968964131,0.795368524
40130101013000,40130101042013,0.031035869,0.204631476
40130101013001,40130101042000,0.942977257,0.673069915
40130101013001,40130101042013,0.057022743,0.326930085
40130101013002,40130101042013,1,1
40130101013003,40130101042001,0.79224339,0.621108265
40130101013003,40130101042002,0.20775661,0.378891735
40130101013004,40130101042001,0.57816279,0.370747701
40130101013004,40130101042002,0.42183721,0.629252299
40130101013005,40130101042000,0.03237006,0.142120199
40130101013005,40130101042003,0.96762994,0.857879801
40130101013006,40130101042007,1,1
40130101013007,40130101042004,1,1
40130101013008,40130101042006,1,1
40130101013009,40130101042005,1,1
40130101013010,40130101042008,1,1
40130101013011,40130101042011,0.384615385,0.432489656
40130101013011,40130101042012,0.615384615,0.567510344
40130101013012,40130101042009,0.329044319,0.047500702
40130101013012,40130101042013,0.018295645,0.147188742
40130101013012,40130101042014,0.342166073,0.375855814
40130101013012,40130101042028,0.310493964,0.273395312
40130101013012,40130101042030,0,0.15605943
40130101013013,40130101042029,1,1
40130101013014,40130101042015,1,1
40130101013015,40130101042017,1,1
40130101013016,40130101042019,1,1
40130101013017,40130101042026,1,1
40130101013018,40130101042016,1,1
