geoid20,aland20,awater20,lat20,lon20,name,land_acre
4.0131E+13,88138,2250,33.572763,-112.1186036,North Mountain,21.77934049
4.01306E+13,981927,2099,33.5016026,-112.3129428,Maryvale,242.6390713
4.01311E+13,28630,2505,33.4430461,-111.9793063,Camelback East,7.07461615
4.01362E+13,73639,2496,33.663376,-112.1332213,Deer Valley,18.1965651
4.0131E+13,188843,45611,33.586585,-112.1200919,North Mountain,46.66404952
4.01311E+13,231714,1843,33.4422504,-111.9835128,Central City,57.25768797
4.01311E+13,36194,822,33.5462142,-112.0553638,Camelback East,8.94371837
4.01311E+13,708334,28830,33.4586035,-111.9470364,Camelback East,175.0328731
4.01361E+13,149818,5298,33.6822444,-112.0802852,Deer Valley,37.02077689
4.01311E+13,402490,4914,33.4418424,-112.1562583,Estrella,99.45729145
4.01311E+13,9945,7533,33.5083403,-111.9927155,Camelback East,2.457459225
4.01362E+13,1925818,189250,33.6492062,-111.9439168,Desert View,475.8792569
4.01308E+13,196104,3233,33.5042519,-112.286553,Maryvale,48.45827892
4.01362E+13,3768538,9150,33.6758836,-111.9344202,Desert View,931.2245825
4.01306E+13,15680,890,33.521509,-112.3078005,Maryvale,3.8746064
4.01312E+13,690779,604,33.3707833,-112.1923067,Laveen,170.6949448
4.01362E+13,225485,10769,33.6454475,-112.15436,Deer Valley,55.71847093
4.01308E+13,162484,6554,33.4994539,-112.280234,Maryvale,40.15060882
4.01311E+13,13669,71,33.4629843,-112.0135463,Central City,3.377678245
4.01311E+13,596,1041,33.4992624,-112.0554058,Encanto,0.14727458
4.0131E+13,59508,16877,33.6332279,-112.1573216,Deer Valley,14.70472434
4.01311E+13,0,8966,33.4497438,-111.9928344,Camelback East,0
4.01306E+13,0,38754,33.5186967,-112.3150912,Maryvale,0
4.01308E+13,277896,10643,33.4979758,-112.2850904,Maryvale,68.66949108
4.01306E+13,236396,4185,33.5041579,-112.3174185,Maryvale,58.41463358
4.01312E+13,332440,8942,33.3434417,-111.9859587,Ahwatukee Foothills,82.1475862
4.01311E+13,1868,251,33.4592107,-112.0064812,Camelback East,0.46159214
4.0131E+13,226051,4009,33.6362176,-112.0591785,North Mountain,55.85833236
4.01311E+13,192544,59,33.4521994,-111.9535154,Camelback East,47.57858512
4.01312E+13,240279,44730,33.420063,-112.1144023,Estrella,59.3741423
4.01361E+13,72005,6149,33.8544418,-112.1485381,Rio Vista,17.79279553
4.0131E+13,184129,10858,33.5755033,-112.1422598,North Mountain,45.49919655
4.01311E+13,0,14714,33.5521377,-112.0619939,Camelback East,0
4.01311E+13,1396346,17028,33.4567013,-111.9602986,Camelback East,345.0440783
4.01311E+13,0,8605,33.44457,-111.9828583,Camelback East,0
4.01311E+13,0,17736,33.5259566,-112.0329413,Camelback East,0
4.01311E+13,105877,7540,33.5624624,-112.0706541,North Mountain,26.16273609
4.01311E+13,517096,40105,33.5320633,-112.0339444,Camelback East,127.7770071
4.01311E+13,40990,1812,33.5401025,-112.0464075,Camelback East,10.12883395
4.01312E+13,314685,32009,33.3298672,-111.9920343,Ahwatukee Foothills,77.76023693
4.01311E+13,53373,4972,33.5021015,-112.0863154,Alhambra,13.18873517
4.01311E+13,0,6193,33.5325059,-112.0400271,Camelback East,0
4.01361E+13,535131,6787,33.7604827,-111.9815442,Desert View,132.2335458
4.0131E+13,280460,5554,33.5710322,-112.1254279,North Mountain,69.3030683
4.01311E+13,251657,6635,33.5295515,-112.0871786,Alhambra,62.18570299
4.01361E+13,469694,1297,33.8217343,-112.2131811,Rio Vista,116.0637359
4.01312E+13,310995,7356,33.3336626,-111.9846789,Ahwatukee Foothills,76.84841948
4.01361E+13,173146,0,33.7249897,-112.1734018,Deer Valley,42.78524233
4.01309E+13,139968,0,33.5135871,-112.2881662,Maryvale,34.58679264
4.01312E+13,12502,0,33.3915699,-112.2062336,Laveen,3.08930671
4.01311E+13,12493,0,33.5085489,-112.1499606,Alhambra,3.087082765
4.01312E+13,26457,0,33.3990925,-112.1200258,Laveen,6.537656985
4.01311E+13,25835,0,33.5063836,-112.2230463,Maryvale,6.383957675
4.0131E+13,228282,0,33.6167793,-112.0218808,Paradise Valley,56.40962361
4.0131E+13,22513,0,33.6303531,-111.9723504,Paradise Valley,5.563074865
4.01361E+13,557054,0,33.7376004,-112.1414889,Deer Valley,137.6508287
4.01311E+13,43773,0,33.5043498,-112.0845396,Alhambra,10.81652717
4.01312E+13,13223,0,33.3925111,-112.1476363,Laveen,3.267469415
4.0131E+13,9724,0,33.5804807,-112.0491704,North Mountain,2.40284902
4.01308E+13,25811,0,33.4187096,-112.2496624,Estrella,6.378027155
4.01308E+13,25658,0,33.4096873,-112.2730803,Estrella,6.34022009
4.01311E+13,33670,0,33.540921,-112.1450747,Alhambra,8.32002535
4.01311E+13,27736,0,33.5506726,-112.1306707,Alhambra,6.85370428
4.0131E+13,55469,0,33.5871197,-112.1279989,North Mountain,13.70666725
4.01311E+13,97972,0,33.4777272,-112.0716043,Encanto,24.20937106
4.01311E+13,17455,0,33.5446988,-112.0876967,Alhambra,4.313217775
4.01311E+13,18033,0,33.5661757,-112.0924414,North Mountain,4.456044465
4.01362E+13,212106,0,33.6432271,-112.0288427,Paradise Valley,52.41245313
4.01362E+13,208056,0,33.6777365,-112.0259678,Paradise Valley,51.41167788
4.0131E+13,20095,0,33.5781232,-112.0969119,North Mountain,4.965574975
4.01362E+13,5202,0,33.6573963,-112.148664,Deer Valley,1.28544021
4.01311E+13,21966,0,33.4455059,-112.0924834,Central City,5.42790843
4.01311E+13,73599,0,33.5549315,-112.1006596,North Mountain,18.1866809
4.0131E+13,33198,0,33.6250935,-112.0643576,North Mountain,8.20339179
4.01312E+13,82474,0,33.3840935,-112.0754516,South Mountain,20.37973777
4.01312E+13,121972,0,33.3145245,-112.153835,Laveen,30.13989106
4.01312E+13,19306,0,33.403958,-112.0353999,South Mountain,4.77060913
4.01362E+13,25781,0,33.6520069,-112.1050943,Deer Valley,6.370614005
4.01311E+13,19494,0,33.4721334,-112.1964942,Maryvale,4.81706487
4.01362E+13,747976,0,33.6567196,-111.9627445,Desert View,184.8286095
4.01362E+13,42992,0,33.6610231,-112.0904518,Deer Valley,10.62353816
4.0131E+13,41901,0,33.5814317,-112.0810166,North Mountain,10.35394661
4.0131E+13,13105,0,33.6125129,-112.0429082,Paradise Valley,3.238311025
4.01311E+13,3571,0,33.4122486,-112.1727061,Estrella,0.882411955
4.01311E+13,20400,0,33.5161146,-112.0791595,Alhambra,5.040942
