name,Hou_10E,Hou_20E,Pop_10E,Pop_20E,AREALAND_ACRE10,AREALAND10,AREALAND_ACRE20,AREALAND20,HouDen_10,PopDen_10,HouDen_20,PopDen_20
Deer Valley_bg,70462,75321,165656,181840,37131.17945046,150264784,37094.45075173,150116148.0,1.8976504663421643,4.46137188346027,2.0305193492179474,4.902080939735154
Desert View_bg,22136,29184,49107,65007,46055.7439658,186381271,47654.690491,192851988.0,0.48063494569619186,1.0662513678308139,0.6124056142073077,1.3641259513012078
Encanto_bg,27669,30129,54614,58647,6847.8595053,27712347,6780.1497701,27438335.0,4.040532662591161,7.9753388570152035,4.443707148309149,8.649808925848406
Estrella_bg,24785,25571,86047,96125,29330.96343651,118698381,29691.80320871,120158650.0,0.8450114519303049,2.9336574704154508,0.8612141142205477,3.237425471410979
Laveen_bg,15884,18677,47834,66047,16286.451106299999,65909031,15556.668990299999,62955703.0,0.9752892079635249,2.9370425568954452,1.2005783507796952,4.245574681905366
Maryvale_bg,64557,67598,207952,229496,25624.51693077,103698901,26803.51295654,108470136.0,2.519345054363922,8.115352986431935,2.521982850143762,8.56216124998658
North Gateway_bg,6767,9426,16420,23830,32673.7932087,132226354,26450.2071698,107040356.0,0.20710787868358552,0.5025434266269357,0.3563677191444574,0.900938122980312
North Mountain_bg,71838,72654,161784,173889,22003.70318127,89045965,22041.72596874,89199838.0,3.2648140818928137,7.352580548246707,3.296202851947225,7.889082744546082
Paradise Valley_bg,75999,77409,167614,174496,26619.5679943,107725736,26729.85540461,108172054.0,2.8550050104597315,6.29664613775441,2.895975261678728,6.528131086332226
Rio Vista_bg,2568,2078,7044,6672,79345.586245,321100691,55294.1681695,223767905.0,0.03236474921327869,0.08877620461773172,0.037580816726097616,0.12066371953634422
South Mountain_bg,38476,42278,110554,125582,20233.08144692,81880502,20433.87674539,82693093.0,1.901638171177186,5.464021893552412,2.06901512262171,6.145774566655934
